Setting_version,cruise_main_event,start_date,first_experiment,beads,Intake_mesh,width_threshold,optical filters,,,,,,,,trigger_channels,class m-file,Attune NxT serial number,Note_1,Note_2
Designated version number for settings,"Common identifier for research cruises, generally including abreviation for research vessel and voyage number or voyage number within a year",Date in UTC for the start of data collection,Samples are collected in batches called experiments,The type of bead measuremnts available fo size calibration purposes. Detailed FCB bead mix recipe is listed in the metadata.,mesh size for pre-filtering sample water to prevent the Attune from aspirating large particles,Voltage threshold that designates the start and stop of the width of each signal pulse. Decreasing to 0.1 improved measurement size resolution,"Columns H-O: The Attune has two lasers (green, 532nm, 100mW and blue, 488nm, 50 mW) with four trigger channels on each. Each channel can accommodate different optical filters that have varied as listed since the start of data collection.",,,,,,,,"detection channels that were used for trigger channels and whether ""AND"" or ""OR"" logic was used",MATLAB m-file used to assign classes for each cruise. ,serial number of the Attune NxT used to acquire data,,
,,,,,,1,SSC,BL1,BL2,BL3,GL1,GL2,GL3,GL4,,,,,
1,EN608,20180130,NESLTER_EN608_31Jan2018a,"Only PT tests, no beads run as sample",80,1,488/10+OD2,530/30,590/40,695/40,575/36,620/15,695/40,780/60,GL1 OR BL3,assign_class_EN608.m,2AFC216190617,Performance test beads made in purchased attune sheath instead of housemade artificial seawater used for sheath,
1,AR28B,20180404,NESLTER_AR28B_03Apr2018a,"Only PT tests, no beads run as sample",150,1,488/10+OD2,530/30,590/40,695/40,575/36,620/15,695/40,780/60,GL1 OR BL3,assign_class_AR28B.m,2AFC216190617,,
1,AR29,20180416,SFD_AR29_16Apr2018a,"Only PT tests, no beads run as sample?",150,1,488/10+OD2,530/30,590/40,695/40,575/36,620/15,695/40,780/60,GL1 OR BL3,assign_class_AR29.m,2AFC216190617,,
2,EN617,20180720,NESLTER_EN617_20Jul2018a,PT_beads_seawater_settings (minimal runs); PT_beads_bead_settings,150,1,488/10+OD2,530/30,575/40 ,680/40,575/36,620/15,680/40,780/60,GL1 OR BL3,assign_class_EN617.m,2AFC216190617,First time using large sheath tank on floor,
3,AR31A,20181020,NESLTER_AR31A_20Oct2018a, PT_beads_bead_settings,150,0.1,488/10+OD2,530/30,575/40 ,680/40,575/36,620/15,680/40,780/60,GL1 OR BL3,assign_class_AR31.m,2AFC216190617,,
4,EN627,20190201,NESLTER_EN627_1Feb2019a,PT_beads_seawater_settings,150,0.1,488/10,530/30,575/40 ,680/40,575/36,620/15,680/40,780/60,GL1 OR BL3,assign_class_EN627.m,2AFC216190617,,
4,AR29_preserved,20190321,AR29_transect_01,,150,0.1,488/10,530/30,575/40 ,680/40,575/36,620/15,680/40,780/60,GL1 OR BL3,,2AFC216190617,,
4,AR34B,20190414,NESLTER_AR34B_14Apr2019a,FCB beads mix,150,0.1,488/10,530/30,575/40 ,680/40,575/36,620/15,680/40,780/60,GL1 OR BL3,assign_class_AR34.m,2AFC216190617,First time cleaning with Hellmanex and adding preservative to sheath,Change in SSC hv due to new cleaning. Not change in which filter was used
4,RB1904,20190512,SPIROPA_RB1904_12May2019a,FCB beads mix,150,0.1,488/10,530/30,575/40 ,680/40,575/36,620/15,680/40,780/60,GL1 OR BL3,assign_class_spiropa_RB1904.m,2AFC216190617,No changes to settings or configurations from last cruise,
3,TN368,20190705,SPIROPA_TN368_05Jul2019a,FCB beads mix,150,0.1,488/10+OD2,530/30,575/40 ,680/40,575/36,620/15,680/40,780/60,GL1 OR BL3,assign_class_spiropa_TN368.m,2AFC216190617,Used higher trigger thresholds and collected less noice to try to reduce coincidence,
5,EN644,20190819,NESLTER_EN644_19Aug2019a,FCB beads mix,150,0.1,488/10,530/30,575/40 ,680/40,530/30+OD2,575/36,620/15,680/40,GL2 OR BL3,assign_class_EN644.m,2AFC216190617,Whole new filter configuration on green laser path,
5,AR39B,20191005,NESLTER_AR39B_05Oct2019a,FCB beads mix,150,0.1,488/10,530/30,575/40 ,680/40,530/30+OD2,575/36,620/15,680/40,GL2 OR BL3,assign_class_AR39.m,2AFC216190617,No changes to settings or configurations from last cruise,
5,EN649,20200201,NESLTER_EN649_01Feb2020a,FCB beads mix,150,0.1,488/10,530/30,575/40 ,680/40,530/30+OD2,575/36,620/15,680/40,GL2 OR BL3,assign_class_EN649.m,2AFC216190617,,
5,AR43,20200311,OTZ_AR43_11Mar2020a,FCB beads mix,150,0.1,488/10,530/30,575/40 ,680/40,530/30+OD2,575/36,620/15,680/40,GL2 OR BL3,assign_class_AR43.m,2AFC216190617,,
6,EN655,20200311,NESLTER_EN655_25Jul2020a,FCB beads mix,150,0.1,488/10,530/30,575/40 ,680/40,530/30+OD2,575/36,620/15,680/40,GL2 OR BL3,assign_class_EN655.m,2AFC216190617,"Begin use of Beta software from Mike Ward that sets maximum width, and has some reduction in coincidence",
7,EN655,20200725,NESLTER_EN655_26Jul2020c ,FCB beads mix,150,0.1,488/10,530/30,575/40 ,680/40,530/30+OD2,575/36,620/15,680/40,GL2 OR BL3,assign_class_EN655.m,2AFC216190617,,During EN655 switch BL2 hv from 360 to 380
7,EN657,20201013,NESLTER_EN657_13Oct2020(1),FCB beads mix,150,0.1,488/10,530/30,575/40 ,680/40,530/30+OD2,575/36,620/15,680/40,GL2 OR BL3,assign_class_EN657.m,2AFC216190617,,
7,EN661,20210203,NESLTER_EN661_03February2021(1),FCB beads mix,150,0.1,488/10,530/30,575/40 ,680/40,530/30+OD2,575/36,620/15,680/40,GL2 OR BL3,assign_class_EN661.m,2AFC216190617,,
7,EN668,20210716,NESLTER_EN668_16Jul2021a(1),FCB beads mix,150,0.1,488/10,530/30,575/40 ,680/40,530/30+OD2,575/36,620/15,680/40,GL2 OR BL3,assign_class_EN668.m,2AFC216190617,,
7,AR61B,20211108,NESLTER_AR61B_08Nov2021(1),FCB beads mix,150,0.1,488/10,530/30,575/40 ,680/40,530/30+OD2,575/36,620/15,680/40,GL2 OR BL3,assign_class_AR61.m,2AFC216190617,,
7,AR62,20211120,NESLTER_AR62_20Nov2021a(1),FCB beads mix,150,0.1,488/10,530/30,575/40 ,680/40,530/30+OD2,575/36,620/15,680/40,GL2 OR BL3,assign_class_AR62.m,2AFC216190617,,
7,AR63,20211126,NESLTER_AR63_26NOV21a(1),FCB beads mix,150,0.1,488/10,530/30,575/40 ,680/40,530/30+OD2,575/36,620/15,680/40,GL2 OR BL3,assign_class_AR63.m,2AFC216190617,,
8,AT46,20220216,NESLTER_AT46_16Feb2022a(1),FCB beads mix,150,0.1,488/10,530/30,575/40 ,680/40,530/30+OD2,575/36,620/15,680/40,GL2 OR BL3,assign_class_AT46.m,2AFC216190617,"First time with raised trigger channel thresholds: GL2 2000, BL3 500",
8,AR66B,20220420,NESLTER_AR66B_20Apr2022a,FCB beads mix,150,0.1,488/10,530/30,575/40 ,680/40,530/30+OD2,575/36,620/15,680/40,GL2 OR BL3,,2AFC216190617,"Trigger channel thresholds: GL2 2000, BL3 500",Winter settings work for Spring
9,EN685,20220713,NESLTER_EN685_13July2022(6),FCB beads mix,150,0.1,488/10,530/30,575/40 ,680/40,530/30+OD2,575/36,620/15,680/40,GL2 OR BL3,,2AFC216190617,"Trigger channel thresholds: GL2 300, BL3 200; BL3 threshold should have been 300",Pierre Marrec URI opperate Attune. Lowered trigger thresholds for summer. FCB bead files not saved. 
7,EN687,20220719,NESLTER_EN687_29Jul2022(1),FCB beads mix,150,0.1,488/10,530/30,575/40 ,680/40,530/30+OD2,575/36,620/15,680/40,GL2 OR BL3,,2AFC216190617,"Trigger channel thresholds: GL2 300, BL3 300",Return to summer thresholds
10,EN688,20220806,,FCB beads mix,150,0.1,488/10,530/30,575/40 ,680/40,530/30+OD2,575/36,620/15,680/40,GL2 AND SSC; alternate BL3 AND SSC,,2AFC216190617,,First time alternating trigger thresholds for underway sampling. 
,AR70B,20221117,,FCB beads mix,150,,,,,,,,,,,,,,
